id,fname,lname,DOB,ss,street,postal_code,city,state
883,Billy,Walker,6/4/1986,856-88-8252,9 Warbler Plaza,30022,Alpharetta,GA
884,Antonio,Thomas,5/28/2003,564-09-6759,99259 Hallows Lane,10557,Mount Vernon,NY
885,Christina,Arnold,12/18/1927,724-90-9858,97 Corry Street,76210,Denton,TX
886,Margaret,Garrett,10/20/1992,211-37-2264,76 Bashford Way,79999,El Paso,TX
887,Russell,Fowler,5/14/1955,946-47-0606,327 6th Junction,20540,Washington,DC
888,Richard,Sims,7/1/1940,634-72-3442,2 Grim Alley,55402,Minneapolis,MN
889,Philip,Wells,6/13/1962,988-51-4798,3325 Forest Run Trail,92115,San Diego,CA
890,Sandra,Stone,4/26/1931,467-50-3362,3476 Hoffman Place,84199,Salt Lake City,UT
891,Chris,Morgan,4/24/2014,317-06-7298,3545 Burrows Hill,46857,Fort Wayne,IN
892,Deborah,Kennedy,8/6/1983,569-62-3979,340 Shopko Junction,45432,Dayton,OH
893,Charles,Flores,2/15/2010,736-61-7578,95 Annamark Point,60652,Chicago,IL
894,Sandra,Reed,8/15/2008,848-26-7768,8 Manley Drive,33261,Miami,FL
895,William,Payne,6/11/1966,287-94-3688,3 Autumn Leaf Road,12232,Albany,NY
896,Wayne,Wood,3/24/1967,913-64-4730,1556 Westerfield Way,33758,Clearwater,FL
897,Ryan,Powell,11/23/1918,539-83-4215,196 Nobel Drive,33543,Zephyrhills,FL
898,Janice,Simmons,4/3/1990,711-58-4621,063 Bluejay Pass,85035,Phoenix,AZ
899,Emily,Chavez,2/28/1979,258-61-3209,51829 Luster Pass,31904,Columbus,GA
900,Teresa,Dunn,1/8/2011,865-96-4308,30245 Logan Plaza,95838,Sacramento,CA
901,Bobby,Hughes,8/6/1921,747-36-7561,5073 Northwestern Crossing,22036,Fairfax,VA
902,Randy,Rodriguez,7/16/2002,402-14-8524,70 Havey Terrace,20189,Dulles,VA
903,Thomas,Garrett,2/26/2015,486-44-2612,2956 Kedzie Crossing,60614,Chicago,IL
904,Martha,Grant,6/28/1981,862-15-7646,3 Ilene Way,77040,Houston,TX
905,Gerald,Garrett,12/15/1985,268-76-2884,835 Artisan Court,62764,Springfield,IL
906,Sandra,Ramos,3/23/1979,942-87-7730,1 Dakota Way,55811,Duluth,MN
907,Kathryn,Franklin,9/13/1975,391-86-2836,1120 Hollow Ridge Drive,20205,Washington,DC
908,Jason,Grant,6/8/2000,847-27-3797,8159 Anzinger Hill,29905,Beaufort,SC
909,Amanda,Rose,7/6/2005,247-16-5706,25966 Evergreen Park,63143,Saint Louis,MO
910,David,Ford,5/30/1966,394-01-7308,2 Northview Alley,57105,Sioux Falls,SD
911,Edward,Price,1/18/1974,246-35-6111,76276 Old Gate Street,55417,Minneapolis,MN
912,Peter,Robinson,5/7/1931,371-98-9812,07 Wayridge Point,32314,Tallahassee,FL
913,Kevin,Hernandez,7/31/1952,331-18-8520,59577 Schiller Lane,55557,Young America,MN
914,Todd,Ryan,12/28/1977,454-39-6633,1 Kingsford Junction,34135,Bonita Springs,FL
915,John,Ramos,1/4/1972,729-78-2309,30745 Menomonie Lane,66215,Shawnee Mission,KS
916,Lori,Myers,6/30/1952,984-33-2619,51 Blackbird Hill,08638,Trenton,NJ
917,Janice,Torres,10/2/1974,418-14-1359,939 Pawling Avenue,77281,Houston,TX
918,Eugene,Perry,8/13/1964,325-12-1650,7617 Valley Edge Pass,75246,Dallas,TX
919,Philip,Carr,10/7/1921,192-17-1259,7 Kennedy Plaza,20784,Hyattsville,MD
920,Steve,Mccoy,6/28/1973,736-65-1380,39674 Anthes Street,20557,Washington,DC
921,Paula,Brooks,9/6/1964,476-17-1361,0402 Bonner Lane,21290,Baltimore,MD
922,Kathryn,Martin,6/27/1968,844-66-6251,1962 Killdeer Avenue,19146,Philadelphia,PA
923,Cynthia,Cole,3/31/1980,623-94-9848,1 Saint Paul Crossing,40298,Louisville,KY
924,Maria,Rice,9/1/2003,715-80-0368,6 Fordem Court,31210,Macon,GA
925,Raymond,Garcia,6/27/2006,878-22-9513,98648 Aberg Way,10039,New York City,NY
926,Willie,George,5/31/1995,967-43-4476,8 Northport Plaza,32314,Tallahassee,FL
927,Martha,Dean,8/7/1972,858-96-7379,50 Center Parkway,14619,Rochester,NY
928,Heather,Bennett,2/10/1923,438-12-3985,8 Lighthouse Bay Pass,33111,Miami,FL
929,Gregory,Reid,6/30/1958,916-57-5629,1767 Mendota Point,93407,San Luis Obispo,CA
930,Kenneth,Matthews,12/5/2014,202-53-7553,40 Del Mar Alley,33245,Miami,FL
931,Phyllis,Baker,4/19/1917,259-06-4829,4666 Melody Alley,33355,Fort Lauderdale,FL
932,Kathryn,Edwards,6/12/2006,846-58-1330,4 Mayer Lane,73109,Oklahoma City,OK
933,Daniel,Rogers,12/18/1927,654-03-3812,463 Reindahl Court,33064,Pompano Beach,FL
934,Billy,Lopez,12/11/1991,524-78-2689,48547 Saint Paul Terrace,34114,Naples,FL
935,George,Simmons,1/5/1998,808-97-8396,70 Sullivan Circle,92867,Orange,CA
936,Dennis,Austin,1/5/2013,991-17-6993,6 Northridge Parkway,14276,Buffalo,NY
937,Tina,Gibson,1/23/2014,575-18-6896,180 Lakewood Way,94116,San Francisco,CA
938,Donald,Romero,3/9/1999,152-10-9098,7 Loomis Park,20719,Bowie,MD
939,Samuel,Ramirez,7/23/1933,311-76-5999,95018 Manley Avenue,96810,Honolulu,HI
940,Christopher,Wells,10/3/1985,800-78-0823,24 Brentwood Avenue,59105,Billings,MT
941,Lillian,Gilbert,10/9/1984,240-29-0962,3 Anzinger Avenue,75062,Irving,TX
942,Jimmy,Johnston,4/20/1979,358-11-5800,11994 Holmberg Circle,21747,Hagerstown,MD
943,Albert,Burton,9/6/1919,270-44-5735,29594 Mallard Parkway,14624,Rochester,NY
944,Paula,Medina,10/23/1917,367-66-9493,552 Dahle Circle,46634,South Bend,IN
945,Tammy,Willis,10/31/1943,914-61-9516,2063 Myrtle Way,33605,Tampa,FL
946,Michael,Perry,1/20/1997,673-87-0323,67 Walton Center,33462,Lake Worth,FL
947,Pamela,Adams,4/24/1928,914-77-7934,1 Northfield Court,72916,Fort Smith,AR
948,Kathryn,Shaw,4/11/2002,813-98-0551,7281 Derek Plaza,30195,Duluth,GA
949,Maria,Mills,3/16/1938,764-57-5542,3 Weeping Birch Street,32868,Orlando,FL
950,Roger,Cook,8/17/1919,795-89-9481,180 Hallows Junction,10160,New York City,NY
951,Eric,King,9/23/1985,777-29-4223,087 Sullivan Crossing,45203,Cincinnati,OH
952,Heather,Castillo,7/5/2001,782-33-8249,6 Forster Lane,60624,Chicago,IL
953,Jerry,Reid,10/2/1938,959-40-0826,2186 Anthes Junction,97229,Portland,OR
954,Matthew,Willis,3/24/1960,670-11-0564,35 Starling Plaza,78255,San Antonio,TX
955,Richard,Peters,9/7/1943,554-62-8960,8534 Bonner Street,24034,Roanoke,VA
956,Louise,Walker,3/15/1922,606-98-9270,287 Golf Course Circle,64144,Kansas City,MO
957,Donna,Roberts,8/22/1944,620-73-2532,7302 Sherman Point,70033,Metairie,LA
958,William,Diaz,10/26/2001,344-20-7543,5030 Schlimgen Pass,89155,Las Vegas,NV
959,Wanda,Nichols,12/28/2006,168-74-7120,370 Caliangt Crossing,32255,Jacksonville,FL
960,Julie,Stanley,12/26/1937,725-18-1888,1 Valley Edge Terrace,30351,Atlanta,GA
961,Douglas,White,5/4/1943,532-67-4959,9640 Fulton Circle,36616,Mobile,AL
962,Norma,Ward,4/30/1922,329-02-3581,67247 Spenser Court,84125,Salt Lake City,UT
963,Ruth,Fox,3/7/1917,209-44-9781,524 Carberry Point,19184,Philadelphia,PA
964,Roy,White,6/17/1949,184-72-1905,1256 Bellgrove Pass,75205,Dallas,TX
965,Kimberly,Webb,5/30/2005,280-40-5014,881 Birchwood Junction,78703,Austin,TX
966,Victor,Elliott,11/27/1997,925-73-5073,949 Canary Trail,98411,Tacoma,WA
967,Wanda,Perkins,5/29/1925,791-20-3815,34 Morning Center,53785,Madison,WI
968,Heather,Ryan,10/10/1925,371-22-9844,46 Fair Oaks Crossing,63169,Saint Louis,MO
969,Ralph,Walker,1/12/2011,375-77-0818,16832 Express Avenue,56944,Washington,DC
970,Jane,Castillo,6/16/1992,985-04-5946,8597 Forster Way,20883,Gaithersburg,MD
971,Gary,Boyd,3/5/1955,539-49-4747,211 Holmberg Hill,45203,Cincinnati,OH
972,Mark,Ryan,11/19/2008,136-04-9118,1 Mandrake Road,12247,Albany,NY
973,Donald,Reynolds,5/20/1989,808-96-9266,172 Scofield Point,32595,Pensacola,FL
974,Julie,Jackson,4/6/1967,474-86-8325,9546 Morning Avenue,66699,Topeka,KS
975,Wayne,Henry,6/10/1982,388-29-6407,4993 Annamark Circle,17405,York,PA
976,Pamela,Harris,4/15/1933,533-93-9093,00096 Hagan Plaza,06520,New Haven,CT
977,Tina,Knight,5/2/1940,635-05-2807,4502 Butterfield Road,37250,Nashville,TN
978,Phillip,Rivera,12/7/2001,912-14-6929,9 Shasta Street,75260,Dallas,TX
979,Patrick,Mitchell,3/3/2010,900-97-5880,7165 Bashford Circle,46825,Fort Wayne,IN
980,Dorothy,Gomez,9/16/1995,881-78-9302,1 Ruskin Drive,55598,Loretto,MN
981,Robin,Davis,2/18/1953,660-58-3840,4 Scott Junction,66606,Topeka,KS
982,Judy,Rodriguez,10/3/1963,921-32-0522,284 Starling Junction,33615,Tampa,FL
983,Debra,Fuller,7/30/1991,314-01-2216,03234 Sundown Street,53790,Madison,WI
984,Nicholas,Smith,8/4/1943,223-94-3028,002 Farwell Center,88563,El Paso,TX
985,Susan,Sanders,1/9/1969,824-43-9345,722 Bayside Terrace,87121,Albuquerque,NM
986,Steve,Thompson,5/1/1929,133-41-8604,5015 Mosinee Crossing,66629,Topeka,KS
987,Joyce,Morales,4/4/1975,317-12-4181,2 Nevada Road,77025,Houston,TX
988,Edward,Hunt,9/24/1973,894-13-1106,95 Miller Street,32595,Pensacola,FL
989,Sara,Rodriguez,12/13/1993,370-45-4087,9 Service Trail,33686,Tampa,FL
990,Juan,Nguyen,2/7/1969,543-18-3450,4883 Corry Street,45264,Cincinnati,OH
991,Albert,Meyer,3/30/1975,193-51-5682,1 Hoffman Drive,20337,Washington,DC
992,Joe,Anderson,5/30/1984,270-17-4405,32 Hagan Crossing,21747,Hagerstown,MD
993,Kathy,Marshall,8/4/2002,926-12-1723,879 Helena Way,76310,Wichita Falls,TX
994,Raymond,Garza,12/29/1981,537-92-1108,10 Fremont Street,39236,Jackson,MS
995,Betty,Mills,10/26/1957,645-18-6544,003 Pierstorff Junction,33625,Tampa,FL
996,Paul,Patterson,1/25/1957,887-08-0045,85 Esch Parkway,79405,Lubbock,TX
997,Joseph,Taylor,11/18/1971,762-25-7089,02725 Carey Court,93311,Bakersfield,CA
998,Daniel,Palmer,11/5/1995,362-24-6726,62 Charing Cross Center,79405,Lubbock,TX
999,Carol,Richards,1/10/1988,653-49-0382,1 Kipling Street,40546,Lexington,KY
1000,Cynthia,Kennedy,8/26/1927,780-39-6925,04 Lotheville Place,98185,Seattle,WA
